year,brate_lesshs,brate_hsgrad,brate_somecoll,brate_colgrad
1992,96.115257,73.654709,54.88163,70.517456
1993,97.794693,73.310341,52.500237,70.278435
1994,91.020271,72.126678,49.43475,71.239075
1995,91.249092,69.697876,49.777905,70.97686
1996,89.016953,69.888153,51.099255,69.671745
1997,92.986671,67.978874,50.62748,72.052048
1998,97.370422,69.032112,51.275902,73.388329
1999,96.219818,69.541023,51.301651,73.488983
2000,102.31436,71.62191,51.87788,76.729683
2001,100.94907,74.427971,49.894119,73.23262
2002,101.16251,72.966751,50.664463,74.25013
2003,104.64138,73.383224,51.418194,75.846954
2004,108.19216,72.233101,52.882469,76.556824
2005,109.11428,73.718666,54.753239,74.673653
2006,124.98978,72.45166,58.312931,74.243011
2007,118.98744,76.496147,61.001526,72.457321
2008,120.60184,77.430458,60.875854,69.780266
2009,122.70223,72.882103,63.972561,64.882584
2010,109.02657,68.834869,62.61042,67.171516
2011,105.19937,68.801865,62.4342,67.900856
2012,103.0705,69.943199,62.820713,67.956375
2013,102.50113,70.524017,62.811985,67.55822
2014,102.23146,73.668449,65.044746,67.014473
2015,94.858986,73.179001,65.516403,67.419434
2016,98.809059,74.343803,63.889896,66.473953
2017,102.53861,74.750481,62.647846,63.263256
2018,99.561783,74.759506,61.700287,61.095528
2019,97.531349,73.527245,62.329762,59.388077
